domain,Frequency count in our data,Higher > median (excl. zeros),National outlet to include in ideo scaling,Final include in ideo scaling,Twitter,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound,Ideology 3-level
echotygodnik.info,0,FALSE,,FALSE,,,,,
echogmin24.pl,0,FALSE,,FALSE,,,,,
extraciechanow.pl,0,FALSE,,FALSE,,,,,
gazetalokalna.com,0,FALSE,,FALSE,,,,,
gazeta-mlawska.pl,0,FALSE,,FALSE,,,,,
gazeta.myslenice.pl,0,FALSE,,FALSE,,,,,
gazetasiedlecka.pl,0,FALSE,,FALSE,,,,,
szamotulska.pl,0,FALSE,,FALSE,,,,,
gazetaslaska.pl,0,FALSE,,FALSE,,,,,
glos-tn.krakow.pl,0,FALSE,,FALSE,,,,,
gzc.cieszyn.pl,0,FALSE,,FALSE,,,,,
gwarek.com.pl,0,FALSE,,FALSE,,,,,
konkrety24.pl,0,FALSE,,FALSE,,,,,
kronika.beskidzka.pl,0,FALSE,,FALSE,,,,,
kurekmazurski.pl,0,FALSE,,FALSE,,,,,
linia.com.pl,0,FALSE,,FALSE,,,,,
elokalna.pl,0,FALSE,,FALSE,,,,,
sportexpress.pl,0,FALSE,,FALSE,,,,,
nadwisla.pl,0,FALSE,,FALSE,,,,,
nasz-dzien.pl,0,FALSE,,FALSE,,,,,
enowiny.pl,0,FALSE,,FALSE,,,,,
nowinynyskie.com.pl,0,FALSE,,FALSE,,,,,
ol.com.pl,0,FALSE,,FALSE,,,,,
famka.pl,0,FALSE,,FALSE,,,,,
terazgorzow.pl,0,FALSE,,FALSE,,,,,
terazkielce.pl,0,FALSE,,FALSE,,,,,
terazradom.pl,0,FALSE,,FALSE,,,,,
teraztorun.pl,0,FALSE,,FALSE,,,,,
twojkurier.pl,0,FALSE,,FALSE,,,,,
tc.ciechanow.pl,0,FALSE,,FALSE,,,,,
tygodnikkepinski.pl,0,FALSE,,FALSE,,,,,
tygodnik-krapkowicki.info,0,FALSE,,FALSE,,,,,
tygodnik7dni.pl,0,FALSE,,FALSE,,,,,
tylkogorzow.com,0,FALSE,,FALSE,,,,,
wrzesnia.info.pl,0,FALSE,,FALSE,,,,,
gazetawydarzenia.pl,0,FALSE,,FALSE,,,,,
ziemiakaliska.com.pl,0,FALSE,,FALSE,,,,,
ziemiapiotrkowska.pl,0,FALSE,,FALSE,,,,,
zyciejarocina.pl,0,FALSE,,FALSE,,,,,
insilesia.pl,0,FALSE,,FALSE,,,,,
prawapolityka.pl,0,FALSE,,FALSE,,,,,
,,,,,,,,,
Median 1,435,,,,,,,,
Median 2,164,,,,,,,,
